,Question_no,signal1,bag1,bag1_ado_id,bag1_start_absolute,bag1_end_absolute,signal2,bag2,bag2_ado_id,bag2_start_absolute,bag2_end_absolute
32,32,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288955.7371178,1689288969.71883,4,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289046.207837,1689289056.3159006
33,33,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288955.7371178,1689288969.71883,5,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289140.8046937,1689289150.1551442
34,34,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288955.7371178,1689288969.71883,6,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289167.603776,1689289175.745188
35,35,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288955.7371178,1689288969.71883,7,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289193.8529038,1689289204.835851
36,36,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288955.7371178,1689288969.71883,8,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289219.5188522,1689289229.145054
37,37,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288955.7371178,1689288969.71883,0,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689286935.2939074,1689286946.0763702
38,38,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288955.7371178,1689288969.71883,1,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689286964.6851041,1689286977.0421317
39,39,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288955.7371178,1689288969.71883,2,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689286990.232889,1689287003.790539
40,40,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288955.7371178,1689288969.71883,3,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287021.682046,1689287030.6745536
41,41,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288955.7371178,1689288969.71883,4,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287043.7322123,1689287057.17373
42,42,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288955.7371178,1689288969.71883,5,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287102.6804593,1689287110.5786395
43,43,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288955.7371178,1689288969.71883,6,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287200.9760044,1689287215.0345562
44,44,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288955.7371178,1689288969.71883,7,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287256.77433,1689287272.2912226
