,Question_no,signal1,bag1,bag1_ado_id,bag1_start_absolute,bag1_end_absolute,signal2,bag2,bag2_ado_id,bag2_start_absolute,bag2_end_absolute
87,87,6,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000133.0,1689289549.5415916,1689289554.4763205,5,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000132.0,1689287542.8231454,1689287547.764152
88,88,6,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000133.0,1689289549.5415916,1689289554.4763205,6,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000133.0,1689287564.0807445,1689287577.25508
89,89,6,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000133.0,1689289549.5415916,1689289554.4763205,7,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000135.0,1689287673.8520277,1689287678.0702848
90,90,6,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000133.0,1689289549.5415916,1689289554.4763205,8,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000136.0,1689287708.1424773,1689287726.5842853
91,91,7,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000134.0,1689289561.4090374,1689289575.4072025,0,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000126.0,1689287356.0370624,1689287374.8369002
92,92,7,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000134.0,1689289561.4090374,1689289575.4072025,1,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000127.0,1689287397.9374988,1689287404.4024866
93,93,7,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000134.0,1689289561.4090374,1689289575.4072025,2,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000128.0,1689287414.4769855,1689287422.9687243
94,94,7,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000134.0,1689289561.4090374,1689289575.4072025,3,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000130.0,1689287482.0847545,1689287497.018302
95,95,7,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000134.0,1689289561.4090374,1689289575.4072025,4,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000131.0,1689287515.124072,1689287524.3333418
96,96,7,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000134.0,1689289561.4090374,1689289575.4072025,5,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000132.0,1689287542.8231454,1689287547.764152
97,97,7,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000134.0,1689289561.4090374,1689289575.4072025,6,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000133.0,1689287564.0807445,1689287577.25508
